Código	Empresa	Status	Editar	Excluir
350	vago350	Inativa		
352	vago352	Inativa		
354	vago354	Inativa		
358	vago358	Inativa		
361	vago361	Inativa		
362	vago362	Inativa		
364	vago364	Inativa		
365	vago365	Inativa		
368	vago368	Inativa		
369	vago369	Inativa		
370	vago370	Inativa		
374	vago374	Inativa		
382	vago382	Inativa		
388	vago388	Inativa		
390	vago390	Inativa		
391	vago391	Inativa		
392	vago392	Inativa		
397	vago397	Inativa		
406	vago406	Inativa		
407	vago407	Inativa		
410	vago410	Inativa		
415	vago415	Inativa		
416	vago416	Inativa		
417	vago417	Inativa		
418	vago418	Inativa		
419	vago419	Inativa		
424	vago424	Inativa		
425	vago425	Inativa		
427	vago427	Inativa		
430	vago430	Inativa		
436	vago436	Inativa		
438	vago438	Inativa		
441	vago441	Inativa		
442	vago442	Inativa		
444	vago444	Inativa		
448	vago448	Inativa		
452	vago452	Inativa		
455	vago455	Inativa		
458	vago458	Inativa		
459	vago459	Inativa		
460	vago460	Inativa		
461	vago461	Inativa		
468	vago468	Inativa		
469	vago469	Inativa		
470	vago470	Inativa		
476	vago476	Inativa		
477	vago477	Inativa		
478	vago478	Inativa		
482	vago482	Inativa		
486	vago486	Inativa		
487	vago487	Inativa		
489	vago489	Inativa		
501	vago501	Inativa		
502	vago502	Inativa		
507	vago507	Inativa		
508	vago508	Inativa		
510	vago510	Inativa		
511	vago511	Inativa		
514	vago514	Inativa		
520	vago520	Inativa		
521	vago521	Inativa		
523	vago523	Inativa		
526	vago526	Inativa		
527	vago527	Inativa		
530	vago530	Inativa		
531	vago531	Inativa		
532	vago532	Inativa		
533	vago533	Inativa		
539	vago539	Inativa		
541	vago541	Inativa		
542	vago542	Inativa		
543	vago543	Inativa		
544	vago544	Inativa		
545	vago545	Inativa		
546	vago546	Inativa		
547	vago547	Inativa		
548	vago548	Inativa		
549	vago549	Inativa		
551	vago551	Inativa		
552	vago552	Inativa		
554	vago554	Inativa		
556	vago556	Inativa		
557	vago557	Inativa		
559	vago559	Inativa		
563	vago563	Inativa		
566	vago566	Inativa		
568	vago568	Inativa		
569	vago569	Inativa		
571	vago571	Inativa		
573	vago573	Inativa		
581	vago581	Inativa		
593	vago593	Inativa		
594	vago594	Inativa		
595	vago595	Inativa		
596	vago596	Inativa		
597	vago597	Inativa		
598	vago598	Inativa		
599	vago599	Inativa		
600	vago600	Inativa		
414	Val Turismo Ltda ME	Ativa		
538	Vazoli 9 de Julho - Eric Vaz de Lima Giglio	Ativa		
440	Vazoli Angra - Mambucaba - Ederson Costa de Oliveira	Ativa		
473	Vazoli Araçatuba - Sutter Serviços de Apoio Administrativo Ltda	Ativa		
120	Vazoli Barretos	Ativa		
428	Vazoli Botucatu - Lucalix Servicos de Informacoes Cadastrias Ltda	Ativa		
463	Vazoli Floripa - D. R. Duarte Solucoes	Ativa		
536	Vazoli Guapiaçu - Vazoli Franchising Ltda	Ativa		
589	Vazoli Guaraci - Silvia Ribeiro de Souza Ltda	Ativa		
359	Vazoli Guarulhos - Mary Ann Cobranças	Ativa		
108	Vazoli Mateus Leme - Santiago soluções Administrativas Ltda Me	Ativa		
497	Vazoli Olimpia	Ativa		
535	Vazoli Olímpia Call Center - Vazoli Franchising Ltda	Ativa		
363	Vazoli Recife Boa Vista - CS Soluções	Ativa		
587	Vazoli Redenção - Sfls Negócios e oportunidades Eireli	Ativa		
453	Vazoli São Manuel - Luis & Calixto Serviços de Informações Cadastrais Ltda	Ativa		
540	Vazoli Severínia - Vazoli Olímpia Serviços Cadastrais Eireli	Ativa		
537	Vazoli Viradouro - Vazoli Franchising Ltda	Ativa		
578	Vfixa Assessoria em Mercados Futuros e Agronegócios Ltda	Ativa		
130	Vida Nova Gvn - Gvn Corretores Encaminhamentos de propostas Eireli	Ativa		
136	Wellness Sport Club Ltda	Ativa		
116	Wolf Seeds do Brasil Ltda	Ativa		
413	Yamada Contabilidade e Assessoria	Ativa		
475	Yamada e Thomazello Sociedade de Advogados	Ativa		
432	Yamada Outsourcing Lltda	Ativa		
286	Ycs Comercial Reparos e Instalação de Produtos Nauticos LTDA	Ativa		
465	Yellowin Computação Grafica Eireli	Ativa		
408	Z.Y.B Produções Artisticas	Ativa		
127	Zero1 Pneus - Centro Automotivo Zero 01 Pneus Barretos Ltda Me	Ativa
